Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Ascot Vale,7 Angler Pde,4,h,1640000.0,S,Raine,16/04/2016,5.9,3032.0,4.0,3.0,2.0,562.0,204.0,1890.0,Moonee Valley,-37.782,144.903,Western Metropolitan,6567.0
Melbourne,702/108 Flinders St,2,u,675000.0,VB,Kay,24/09/2016,2.8,3000.0,2.0,2.0,1.0,0.0,,2014.0,Melbourne,-37.8161,144.9712,Northern Metropolitan,17496.0
Balwyn North,1 Hosken St,5,h,2800000.0,S,Marshall,26/08/2017,9.7,3104.0,5.0,2.0,2.0,1173.0,0.0,1960.0,,-37.80385,145.09094,Southern Metropolitan,7809.0
Footscray,6/63 Everard St,2,u,615000.0,S,Sweeney,16/04/2016,6.4,3011.0,2.0,1.0,3.0,207.0,,1960.0,Maribyrnong,-37.7975,144.8855,Western Metropolitan,7570.0
Sandringham,50 Bamfield St,4,h,2700000.0,S,hockingstuart,9/09/2017,15.2,3191.0,4.0,2.0,1.0,722.0,318.0,1890.0,,-37.94804,145.00756,Southern Metropolitan,4497.0
Avondale Heights,2/4 Carmyle Ct,2,u,411000.0,PI,Barry,27/11/2016,10.5,3034.0,2.0,1.0,1.0,0.0,85.0,1995.0,Moonee Valley,-37.7608,144.863,Western Metropolitan,4502.0
Richmond,304/253 Bridge Rd,2,u,630000.0,S,Biggin,29/04/2017,2.6,3121.0,2.0,2.0,1.0,3512.0,,2011.0,Yarra,-37.8183,144.9979,Northern Metropolitan,14949.0
Mordialloc,6 Winterset Cl,4,h,1440000.0,S,Hodges,12/08/2017,21.5,3195.0,4.0,2.0,2.0,695.0,,,Kingston,-38.00477,145.10078,South-Eastern Metropolitan,3650.0
Seddon,8 Perry St,2,h,887000.0,S,Jas,26/07/2016,6.6,3011.0,2.0,1.0,1.0,170.0,,,Maribyrnong,-37.8082,144.8928,Western Metropolitan,2417.0
Mount Waverley,3 Wortley Av,4,h,1640000.0,S,Barry,29/07/2017,14.2,3149.0,4.0,2.0,2.0,811.0,,,Monash,-37.85858,145.12053,Eastern Metropolitan,13366.0
Abbotsford,45 Yarra St,3,h,1195000.0,SP,Jellis,27/11/2016,2.5,3067.0,3.0,2.0,1.0,120.0,128.0,1998.0,Yarra,-37.8022,144.9954,Northern Metropolitan,4019.0
Brighton,2/422 St Kilda St,3,t,1475000.0,PI,Buxton,7/11/2016,11.2,3186.0,3.0,2.0,2.0,345.0,163.0,2000.0,Bayside,-37.8943,144.9907,Southern Metropolitan,10579.0
Kew,2/37 Wills St,3,t,1330000.0,PI,Jellis,19/11/2016,5.6,3101.0,3.0,2.0,2.0,205.0,184.0,1995.0,Boroondara,-37.7993,145.0267,Southern Metropolitan,10331.0
Broadmeadows,1/124 Cuthbert St,3,t,465000.0,S,Barry,1/07/2017,14.0,3047.0,3.0,2.0,3.0,248.0,123.21,2010.0,Hume,-37.68358,144.92387,Northern Metropolitan,4294.0
Heidelberg Heights,26 Southern Rd,2,h,460000.0,VB,Nelson,28/05/2016,10.5,3081.0,2.0,1.0,2.0,508.0,79.0,1955.0,Banyule,-37.7428,145.0557,Eastern Metropolitan,2947.0
Northcote,16/341 Heidelberg Rd,2,u,471250.0,S,McGrath,29/04/2017,5.5,3070.0,2.0,1.0,1.0,1000.0,,,Darebin,-37.7836,145.0139,Northern Metropolitan,11364.0
Balwyn North,11 Minerva Av,5,h,2600000.0,VB,Jellis,19/08/2017,9.7,3104.0,5.0,4.0,2.0,708.0,,,,-37.78787,145.08468,Southern Metropolitan,7809.0
Brighton,46 Roslyn St,3,h,1600000.0,VB,RT,30/07/2016,11.2,3186.0,3.0,2.0,2.0,266.0,,2000.0,Bayside,-37.9241,145.0028,Southern Metropolitan,10579.0
Balwyn North,17 Vicars St,5,h,1951000.0,S,Marshall,3/09/2017,9.7,3104.0,5.0,3.0,3.0,711.0,,1960.0,,-37.79066,145.09004,Southern Metropolitan,7809.0
Pascoe Vale,52 Prospect St,3,h,1010000.0,S,Jellis,3/09/2017,8.5,3044.0,3.0,1.0,2.0,673.0,,1970.0,,-37.72777,144.9339,Northern Metropolitan,7485.0
Reservoir,753 Gilbert Rd,3,h,755000.0,S,hockingstuart,9/09/2017,12.0,3073.0,3.0,1.0,1.0,482.0,109.0,1965.0,,-37.7197,144.99295,Northern Metropolitan,21650.0
